Key,Value
1th time-point,-2.315483995
2th time-point,-5.283119417
3th time-point,-2.246466058
4th time-point,-4.221758874
5th time-point,-14.96258181
6th time-point,-15.38554465
7th time-point,-13.45027865
8th time-point,-22.13307805
9th time-point,-19.98294561
10th time-point,-7.131299889
11th time-point,-10.83351085
12th time-point,-20.75652073
13th time-point,-13.90175526
14th time-point,-4.079473452
15th time-point,-4.40198081
16th time-point,-6.871826866
17th time-point,-6.245562636
18th time-point,-3.459215154
19th time-point,-8.588282908
20th time-point,-20.69476511
21th time-point,-19.86408537
22th time-point,-9.689490597
23th time-point,-7.166268098
24th time-point,-9.691539315
25th time-point,-11.42850011
26th time-point,-16.226584
27th time-point,-20.14089579
28th time-point,-8.816383521
29th time-point,-3.73342503
30th time-point,-24.45957417
31th time-point,-28.74732739
32th time-point,-17.45281768
33th time-point,-28.04074338
34th time-point,-29.5100855
35th time-point,-11.69979748
36th time-point,-4.578498214
37th time-point,-6.123800286
38th time-point,-13.52206733
39th time-point,-16.17759787
40th time-point,-10.83103494
41th time-point,-18.32461461
42th time-point,-23.64477337
43th time-point,-15.51723601
44th time-point,-15.33067398
45th time-point,-22.77992741
46th time-point,-28.09625735
47th time-point,-25.25431785
48th time-point,-12.70669859
49th time-point,-4.320163895
50th time-point,-3.404033052
51th time-point,-6.193636772
52th time-point,-16.0663639
53th time-point,-22.84219951
54th time-point,-18.03335712
55th time-point,-14.66620416
56th time-point,-17.11736972
57th time-point,-21.8379328
58th time-point,-36.31139845
59th time-point,-40.83973284
60th time-point,-16.46833746
61th time-point,-13.3113243
62th time-point,-52.07868674
63th time-point,-66.45613859
64th time-point,-42.95763776
65th time-point,-27.2242556
66th time-point,-16.00425516
67th time-point,-7.587247066
68th time-point,-26.28199515
69th time-point,-45.5921668
70th time-point,-32.5434391
71th time-point,-12.58094893
72th time-point,-12.16039238
73th time-point,-18.45795375
74th time-point,-14.31774606
75th time-point,-7.486287153
76th time-point,-8.013309409
77th time-point,-7.395189074
78th time-point,-8.017304531
79th time-point,-15.27776515
80th time-point,-13.37098638
81th time-point,-6.44710749
82th time-point,-11.29109661
83th time-point,-14.25844451
84th time-point,-8.887754625
85th time-point,-9.081011575
86th time-point,-10.97685264
87th time-point,-11.12643451
88th time-point,-19.04984544
89th time-point,-27.17173016
90th time-point,-26.50980084
91th time-point,-24.25258859
92th time-point,-18.48466065
93th time-point,-8.568742419
94th time-point,-5.240541572
95th time-point,-5.568004642
96th time-point,-6.343386956
97th time-point,-11.62380291
98th time-point,-12.57159483
99th time-point,-7.310982751
100th time-point,-8.353564404
101th time-point,-15.48154499
102th time-point,-20.99011626
103th time-point,-25.15101184
104th time-point,-26.60634533
105th time-point,-25.24766317
106th time-point,-30.62462139
107th time-point,-34.88533351
108th time-point,-21.33148251
109th time-point,-8.711009117
110th time-point,-10.8272029
111th time-point,-10.64018209
112th time-point,-13.3769762
113th time-point,-25.90981002
114th time-point,-28.46715575
115th time-point,-20.02756377
116th time-point,-16.19176804
117th time-point,-16.33041929
118th time-point,-12.46254909
119th time-point,-8.482760705
120th time-point,-10.44806787
121th time-point,-11.68266195
122th time-point,-13.42673515
123th time-point,-17.60104069
124th time-point,-12.42583953
125th time-point,-7.832733615
126th time-point,-13.27431036
127th time-point,-14.67686746
128th time-point,-17.26363983
129th time-point,-24.15156981
130th time-point,-25.30082646
131th time-point,-31.59122252
132th time-point,-37.6556
133th time-point,-25.48196825
134th time-point,-11.63581291
135th time-point,-9.429393702
136th time-point,-13.97827279
137th time-point,-32.25362693
138th time-point,-58.89399097
139th time-point,-69.17423212
140th time-point,-57.76584109
141th time-point,-44.43084573
142th time-point,-43.84790048
143th time-point,-43.01492913
144th time-point,-26.32953688
145th time-point,-9.955053699
146th time-point,-15.859683
147th time-point,-44.04551154
148th time-point,-84.41677712
149th time-point,-127.8090521
150th time-point,-156.7736571
151th time-point,-131.9833812
152th time-point,-56.35010596
153th time-point,-14.99963326
154th time-point,-38.43853651
155th time-point,-54.76189255
156th time-point,-33.83977786
157th time-point,-12.93087879
158th time-point,-11.4620911
159th time-point,-18.39710731
160th time-point,-18.6563862
161th time-point,-9.244237753
162th time-point,-4.629186098
163th time-point,-20.3895105
164th time-point,-39.21638599
165th time-point,-35.21086754
166th time-point,-23.51763321
167th time-point,-15.56391517
168th time-point,-6.372347447
169th time-point,-13.98049714
170th time-point,-28.62245497
171th time-point,-20.17583067
172th time-point,-6.113428228
173th time-point,-5.568169736
174th time-point,-7.06093244
175th time-point,-5.622769723
